words@xxx		157.439	157.738	/
words@xxx		157.738	158.037	эээ
words@xxx		158.037	158.336	/
words@xxx		158.336	158.635	/
words@xxx		158.635	158.938	ощущение
words@xxx		173.403	173.677	а
words@xxx		173.677	173.951	какая
words@xxx		173.951	174.225	здесь
words@xxx		174.225	174.499	партия
words@xxx		174.499	174.773	/
words@xxx		174.773	175.047	/
words@xxx		175.047	175.321	больше
words@xxx		175.321	175.595	всего
words@xxx		175.595	175.875	запомнилась
words@xxx		176.138	176.499	какая
words@xxx		176.499	176.86	лучшая
words@xxx		239.73	239.959	а
words@xxx		239.959	240.188	/
words@xxx		240.188	240.417	/
words@xxx		240.417	240.646	расскажите
words@xxx		240.646	240.875	пожалуйста
words@xxx		240.875	241.104	/
words@xxx		241.104	241.333	о
words@xxx		241.333	241.562	вашем
words@xxx		241.562	241.791	решении
words@xxx		241.791	242.02	играть
words@xxx		242.02	242.249	в
words@xxx		242.249	242.478	саудовской
words@xxx		242.478	242.707	аравии
words@xxx		242.707	242.936	/
words@xxx		242.936	243.165	/
words@xxx		243.165	243.394	эээ
words@xxx		243.394	243.623	/
words@xxx		243.623	243.852	/
words@xxx		243.852	244.081	к...
words@xxx		244.081	244.31	как
words@xxx		244.31	244.539	вы
words@xxx		244.539	244.768	/
words@xxx		244.768	244.997	/
words@xxx		244.997	245.226	ммм
words@xxx		245.226	245.455	/
words@xxx		245.455	245.684	/
words@xxx		245.684	245.913	пришли
words@xxx		245.913	246.142	к
words@xxx		246.142	246.371	этому
words@xxx		246.371	246.6	решению
words@xxx		246.6	246.829	/
words@xxx		246.829	247.058	и
words@xxx		247.058	247.287	чего
words@xxx		247.287	247.516	вы
words@xxx		247.516	247.745	ожидаете
words@xxx		247.745	247.974	от
words@xxx		247.974	248.203	этого
words@xxx		248.203	248.443	турнира
words@xxx		318.703	318.973	хорошо
words@xxx		318.973	319.243	/
words@xxx		319.243	319.513	желаем
words@xxx		319.513	319.783	вам
words@xxx		319.783	320.055	удачи
gesture@vmi1969m		10.24	11.47	поднимание бровей
gesture@vmi1969m		11.505	12.975	повторное поднимание бровей с улыбкой
gesture@vmi1969m		14.1	15.73	легкое покачивание головой из стороны в сторону
gesture@vmi1969m		15.96	16.86	поднимание и опускание плеча
gesture@vmi1969m		21.78	22.41	левая ладонь повернутая пальцами от себя движется налево от спикера
gesture@vmi1969m		39.987	41.297	левая ладонь двигается беспорядочно
gesture@vmi1969m		43.93	46.1	движение головы в стороны пола, сопровождаемое подниманием бровей
gesture@vmi1969m		48.16	48.5	поднятие бровей
gesture@vmi1969m		55.15	57.02	покачивание головы из стороны в сторону
gesture@vmi1969m		58.395	58.885	покачивание головы из стороны в сторону
gesture@vmi1969m		61.93	62.62	покачивание головой
gesture@vmi1969m		70.51	71.34	неловкое улыбание
gesture@vmi1969m		71.355	72.485	переход из улыбки в менее улибчивое выражение лица
gesture@vmi1969m		77.7	79.86	зажмуривание глаз
gesture@vmi1969m		82.38	83.12	покачивание головы
gesture@vmi1969m		89.69	90.18	поднимание бровей
gesture@vmi1969m		91.655	92.245	поднимание бровей
gesture@vmi1969m		93.76	94.1	поднимание бровей
gesture@vmi1969m		94.1	96.12	движение левой ладони, направленной ладонью направо, сначала на право ближе к телу, изгибая локоть, потом выпрямляя руку, налево
gesture@vmi1969m		97.11	98.26	поднятие плечей
gesture@vmi1969m		100.66	102.44	правая кисть движется вверх по спирали
gesture@vmi1969m		102.53	104.22	правая кисть продолжает двигаться по спирали, продолжая предыдущую мысль
gesture@vmi1969m		104.26	106.0	правая кисть продолжает двигаться по спирали
gesture@vmi1969m		106.13	108.24	голова поднимается и опускается несколько раз
gesture@vmi1969m		108.415	111.045	правой рукой размахивает из стороны в сторону
gesture@vmi1969m		111.28	113.82	правая рука повернутая ладонью к говорящему опускается и поднимается
gesture@vmi1969m		130.42	131.68	поднимание и опускание плечей
gesture@vmi1969m		132.33	133.47	поднимание и опускание плечей
gesture@vmi1969m		134.7	135.53	поднимание и опускание плечей
gesture@vmi1969m		138.385	139.845	поднимание и опускание плечей
gesture@vmi1969m		175.27	183.17	поднятие головы, взгляд на потолок
gesture@vmi1969m		183.8	186.98	левая рука ставится перед говорящим и двигается вперед и назад несколько раз
gesture@vmi1969m		187.73	189.59	левая рука двигается на лево, ладонью повернутая от говорящего
gesture@vmi1969m		189.735	191.575	левая рука двигается на лево, ладонью повернутая от говорящего
gesture@vmi1969m		191.715	192.565	левая рука двигается на лево, ладонью повернутая от говорящего
gesture@vmi1969m		194.91	198.73	правая кисть двигается беспорядочно
gesture@vmi1969m		199.82	202.22	правая кисть двигается направо по спирали
gesture@vmi1969m		295.65	298.56	правая кисть с сцепленными вместе пальцами движется вверх
gesture@vmi1969m		298.59	302.3	левая кисть с расцепленными пальцами двигается вверх и налево, потом возвращается на исходное положение
gestMeaning@vmi1969m		10.24	11.47	неуверенность говорящего в том как он будет отвечать на вопрос
gestMeaning@vmi1969m		11.505	12.975	говорящему приятно, что интервьюер напомнил его об успехе
gestMeaning@vmi1969m		14.1	15.73	неуверенность
gestMeaning@vmi1969m		15.96	16.86	выражение противопоставления в "но"
gestMeaning@vmi1969m		21.78	22.41	восполнить паузу во время того, как спикер вспомнит слово
gestMeaning@vmi1969m		39.987	41.297	перечисление
gestMeaning@vmi1969m		43.93	46.1	чтобы акцентировать на слове "организатору"
gestMeaning@vmi1969m		48.16	48.5	вспоминание того, чего сказать
gestMeaning@vmi1969m		55.15	57.02	неуверенность в своем ответе
gestMeaning@vmi1969m		58.395	58.885	неуверенность в своем ответе
gestMeaning@vmi1969m		61.93	62.62	акцентирование на "ну"
gestMeaning@vmi1969m		70.51	71.34	неуверенность
gestMeaning@vmi1969m		71.355	72.485	неуверенность
gestMeaning@vmi1969m		77.7	79.86	сопротивление к постановке вопроса интервьюера
gestMeaning@vmi1969m		82.38	83.12	неприятие вопроса
gestMeaning@vmi1969m		89.69	90.18	переключение на следующую клаузулу в предложение
gestMeaning@vmi1969m		91.655	92.245	переход на следующую клаузулу
gestMeaning@vmi1969m		93.76	94.1	акцент на "например"
gestMeaning@vmi1969m		94.1	96.12	акцент на словосочетании
gestMeaning@vmi1969m		97.11	98.26	акцент на "не"
gestMeaning@vmi1969m		100.66	102.44	акцентирует внимание на своих словах восходящей интонации
gestMeaning@vmi1969m		102.53	104.22	дополняет интонацию
gestMeaning@vmi1969m		104.26	106.0	дополняет интонацию
gestMeaning@vmi1969m		106.13	108.24	дополняет интонацию
gestMeaning@vmi1969m		108.415	111.045	акцент на отрицании
gestMeaning@vmi1969m		111.28	113.82	дополняет интонацию
gestMeaning@vmi1969m		130.42	131.68	дополнение интонации
gestMeaning@vmi1969m		132.33	133.47	дополняет интонацию
gestMeaning@vmi1969m		134.7	135.53	дополняет интонацию
gestMeaning@vmi1969m		138.385	139.845	дополняет интонацию
gestMeaning@vmi1969m		175.27	183.17	неуверенность
gestMeaning@vmi1969m		183.8	186.98	акцент на "вот"
gestMeaning@vmi1969m		187.73	189.59	дополняет интонацию
gestMeaning@vmi1969m		189.735	191.575	дополняет интонацию
gestMeaning@vmi1969m		191.715	192.565	дополняет интонацию
gestMeaning@vmi1969m		194.91	198.73	поддержка речи
gestMeaning@vmi1969m		199.82	202.22	поддержка речи
gestMeaning@vmi1969m		295.65	298.56	поддержка речи
gestMeaning@vmi1969m		298.59	302.3	поддержка речи
intonation@xxx		1.01	7.4	нарратив
intonation@xxx		8.01	10.07	вопрос специальный
intonation@xxx		10.33	12.276	вопрос специальный
intonation@xxx		65.686	69.59	вопрос специальный
intonation@xxx		115.783	117.546	нарратив
intonation@xxx		117.633	123.123	нарратив
intonation@xxx		123.339	126.086	вопрос специальный
intonation@xxx		146.105	148.595	нарратив
intonation@xxx		148.628	149.795	нарратив
intonation@xxx		149.88	152.33	нарратив
intonation@xxx		152.465	155.805	вопрос да-нет
intonation@xxx		156.243	158.938	вопрос специальный
intonation@xxx		173.403	175.875	вопрос специальный
intonation@xxx		176.138	176.86	вопрос специальный
intonation@xxx		239.73	248.443	вопрос специальный
intonation@xxx		318.703	320.055	нарратив
text@vmi1969m		14.12	18.879	даже не знаю в чем секрет / но могу сказать что я // не впервые в румынии  
text@vmi1969m		19.077	22.41	я еще застал элизабету //эээ// полихрони... адой
text@vmi1969m		22.753	26.713	благодаря ей // эти турниры и сейчас проводятся
text@vmi1969m		27.033	30.033	могу сказать / что всегда приезжаю сюда с удовольствием
text@vmi1969m		30.17	31.333	мне здесь очень нравится
text@vmi1969m		31.349	33.566	я был // и // в медиаше сейчас
text@vmi1969m		33.596	34.636	и в бухаресте был
text@vmi1969m		34.776	35.59	и в базге
text@vmi1969m		35.612	40.023	то есть и в... везде могу отметить отличную организацию
text@vmi1969m		40.052	44.773	вообще д... д... д... доброжелатель... ное отношение организатору... у... у
text@vmi1969m		44.826	50.373	ну и в... в... и очень корректный //эээ// проведение самого турнира
text@vmi1969m		50.756	51.543	в чем секрет
text@vmi1969m		51.586	52.543	ну даже не могу сказать
text@vmi1969m		52.563	54.023	ну как-то игра пошла
text@vmi1969m		54.033	58.343	как-то / ну / где-то // наверное хорошо подхотовился к турниру
text@vmi1969m		58.91	62.213	в некоторых партиях удалось // удачно угадать дебют
text@vmi1969m		62.309	64.103	ну иии // как-то так сложилось
text@vmi1969m		73.589	76.156	ну я даже не знаю / как ответить на этот вопрос
text@vmi1969m		76.177	77.24	потому-что
text@vmi1969m		78.926	82.13	я не могу так сказать / вот что значит заниматься шахматами
text@vmi1969m		82.13	82.133	вот что значит заниматься шахматами
text@vmi1969m		83.129	85.603	это ж не то шо // сидеть там // за доской
text@vmi1969m		85.689	87.42	или сидеть за компьютером
text@vmi1969m		87.48	88.11	иии
text@vmi1969m		88.743	90.14	какое количество времени
text@vmi1969m		90.202	91.47	потому-что
text@vmi1969m		92.229	95.169	запросто ж может быть вот / например пошел в лес гулять
text@vmi1969m		95.339	102.42	вроде / к шахматам это не имеет к... какого-то прямого отношения / но вот во время прогулки вспомнилась какая-то позиция
text@vmi1969m		102.529	104.213	пришла в голову какая-то идея
text@vmi1969m		104.26	106.003	вот... начинаю анализировать
text@vmi1969m		106.146	108.259	вот // и / уже и занимаюсь шахматами
text@vmi1969m		108.39	111.026	ну // может и не прийти идея // ну // то есть
text@vmi1969m		111.286	113.813	я стараюсь все-таки от шахмат получать удовольствие
text@vmi1969m		126.965	131.2	ну / стараюсь следить по крайней мере за... за новинками
text@vmi1969m		131.29	134.555	то есть просматриваю партии по крайней мере основных турниров
text@vmi1969m		134.85	135.53	#гул#
text@vmi1969m		136.31	139.3	каждому турниру пытаюсь готовить какие-то новые идеи
text@vmi1969m		139.355	142.14	ну / без этого я считаю нельзя сейчас конкурировать
text@vmi1969m		142.875	144.595	на самом высоком уровне
text@vmi1969m		159.53	165.895	ну тогда энергии было все-таки больше и // так // ну // не могу сказать / щас зато опыта больше
text@vmi1969m		166.425	170.945	щас // так // трудно сказать // наверное все-таки тогда играл посильнее
text@vmi1969m		177.53	179.065	больше всего запомнилась
text@vmi1969m		181.1	182.63	д... да... даже не знаю
text@vmi1969m		182.695	192.585	как-то // потому-что как-то вот // у меня б... был такой подход / вот... с... сыхрал партию стремился сразу же о ней забыть вот / не анализировать ничего / и настраиваться на следующую
text@vmi1969m		193.175	196.14	ш... ш... щас как-то вот это все прошло множество партий
text@vmi1969m		196.39	202.635	потом // приеду домой / надо будет конечно посмотреть / потому-что понимаю что мои с... конкуренты тоже посмотрят
text@vmi1969m		202.95	205.51	к... с которыми я буду играть в следующем турнире
text@vmi1969m		205.96	207.79	и уже как-то сделать выводы
text@vmi1969m		208.425	216.205	но так / если //эээ// если без //эээ// чего //эээ//
text@vmi1969m		218.43	233.23	ну вот очень интересная партия с вэй и / где была русская партия там впл... впл... вплоть до финала такой какой-то позиция интересная где у меня лишнее качество / но как-то о... он вроде как бы пытается играть на выихрыш / но я держу ничью
text@vmi1969m		233.48	237.67	то есть ну вообще ну / с... в... вот эта вот партия на меня произошвела впечатление то есть ну вообще ну / с... в... вот эта вот партия на меня произошвела впечатление пожалуй
text@vmi1969m		249.666	252.21	ну //  во... во-первых я могу сказать шо все по очереди
text@vmi1969m		252.246	257.643	шо сначала я еще планирую сыграть в китае / в турнире mind games / сейчас называется IMSA
text@vmi1969m		257.666	262.68	и наверное // ну все-таки // ну в первую очередь буду хотовится именно к этому турниру
text@vmi1969m		263.1	268.613	а потом уже // закончу его / начну подготовку к саудовской аравии
text@vmi1969m		268.693	283.16	ну // чего ожидаю // ну во-первых //эээ// ну интересно побывать в стране //эээ// к... которой... о которой столько говорят // и // разные мнения есть
text@vmi1969m		283.332	288.683	ну // может быть даже как. // орханизаторы // сделают какую-то экскурсию
text@vmi1969m		288.87	290.613	я например никогда не был в пустыне
text@vmi1969m		291.5	293.326	может быть / хотелось бы побывать
text@vmi1969m		293.593	302.85	ну как-то вот надеюсь шо / что мое впечатление от саудовской аравии не будет только впечатлением о гостинице / ресторане / и шахматной доске
text@vmi1969m		304.019	305.85	ну и попытаюсь сыграть как можно лучше
text@vmi1969m		305.882	309.83	ну// как это // насколько я знаю состав собирается очень сильный
text@vmi1969m		309.972	310.962	#нрзб#
text@vmi1969m		310.994	315.356	в... в... в... в основном все ведущие шахматисты подтвердили свое участие
text@vmi1969m		315.396	316.959	ну тем интереснее вообщем-то
text@vmi1969m		320.178	320.698	спасибо
words@vmi1969m		14.12	14.384	даже
words@vmi1969m		14.384	14.648	не
words@vmi1969m		14.648	14.912	знаю
words@vmi1969m		14.912	15.176	в
words@vmi1969m		15.176	15.44	чем
words@vmi1969m		15.44	15.704	секрет
words@vmi1969m		15.704	15.968	/
words@vmi1969m		15.968	16.232	но
words@vmi1969m		16.232	16.496	могу
words@vmi1969m		16.496	16.76	сказать
words@vmi1969m		16.76	17.024	что
words@vmi1969m		17.024	17.288	я
words@vmi1969m		17.288	17.552	/
words@vmi1969m		17.552	17.816	/
words@vmi1969m		17.816	18.08	не
words@vmi1969m		18.08	18.344	впервые
words@vmi1969m		18.344	18.608	в
words@vmi1969m		18.608	18.879	румынии
words@vmi1969m		19.077	19.38	я
words@vmi1969m		19.38	19.683	еще
words@vmi1969m		19.683	19.986	застал
words@vmi1969m		19.986	20.289	элизабету
words@vmi1969m		20.289	20.592	/
words@vmi1969m		20.592	20.895	/
words@vmi1969m		20.895	21.198	эээ
words@vmi1969m		21.198	21.501	/
words@vmi1969m		21.501	21.804	/
words@vmi1969m		21.804	22.107	полихрони...
words@vmi1969m		22.107	22.41	адой
words@vmi1969m		22.753	23.193	благодаря
words@vmi1969m		23.193	23.633	ей
words@vmi1969m		23.633	24.073	/
words@vmi1969m		24.073	24.513	/
words@vmi1969m		24.513	24.953	эти
words@vmi1969m		24.953	25.393	турниры
words@vmi1969m		25.393	25.833	и
words@vmi1969m		25.833	26.273	сейчас
words@vmi1969m		26.273	26.713	проводятся
words@vmi1969m		27.033	27.366	могу
words@vmi1969m		27.366	27.699	сказать
words@vmi1969m		27.699	28.032	/
words@vmi1969m		28.032	28.365	что
words@vmi1969m		28.365	28.698	всегда
words@vmi1969m		28.698	29.031	приезжаю
words@vmi1969m		29.031	29.364	сюда
words@vmi1969m		29.364	29.697	с
words@vmi1969m		29.697	30.033	удовольствием
words@vmi1969m		30.17	30.46	мне
words@vmi1969m		30.46	30.75	здесь
words@vmi1969m		30.75	31.04	очень
words@vmi1969m		31.04	31.333	нравится
words@vmi1969m		31.349	31.57	я
words@vmi1969m		31.57	31.791	был
words@vmi1969m		31.791	32.012	/
words@vmi1969m		32.012	32.233	/
words@vmi1969m		32.233	32.454	и
words@vmi1969m		32.454	32.675	/
words@vmi1969m		32.675	32.896	/
words@vmi1969m		32.896	33.117	в
words@vmi1969m		33.117	33.338	медиаше
